ID,Account Type,Opening Balance,Closing Balance
P00700233,Low Risk,36108.02,30739.16
I00893608,Balanced,17491.21,13289.93
O00495959,Low Risk,98088.02,83696.55
W00322157,High Growth,55755.03,37462.72
K05515868,Low Risk,25512.43,21686.0
X09938861,High Growth,45172.64,30272.03
J03985175,Balanced,60721.28,47237.98
U08395365,Low Risk,43884.57,37383.66
T06523948,Low Risk,16858.93,14292.22
W04695283,Low Risk,30442.63,25898.5
Y07325537,High Growth,17112.58,11205.33
U09386263,High Growth,44480.21,29801.53
E07859214,Low Risk,25506.44,21680.89
G02183190,Balanced,21355.17,16324.26
K01555227,Balanced,65487.16,50980.57
H03930408,Low Risk,23773.34,20200.08
P02602626,Balanced,27646.94,21265.11
Y04260095,High Growth,32871.23,21913.27
V01263341,Balanced,31473.15,24269.78
W02341466,High Growth,30045.71,19993.34
K04686267,Balanced,41347.02,32023.61
L08091997,Low Risk,41240.58,35124.56
A08535662,High Growth,28402.25,18876.62
I04306751,Low Risk,50075.67,42673.5
N02009615,High Growth,48166.72,32306.5
I08478349,Low Risk,41058.8,34969.24
W04693605,High Growth,28249.26,18772.66
H01081875,Balanced,26628.54,20465.37
Z08933768,Low Risk,19907.99,16897.42
J01617610,Low Risk,14970.84,12678.99
V06791704,High Growth,22097.96,14592.88
I06879300,Low Risk,36580.95,31143.25
X09062070,High Growth,18865.15,12396.2
O02747632,Balanced,20188.58,15408.15
W05655530,High Growth,29460.01,19595.36
N02610305,Balanced,45875.3,35579.61
M03333025,Balanced,42540.83,32961.1
Y00643810,High Growth,16231.57,10606.69
J08665229,High Growth,17275.23,11315.85
Z06896041,Balanced,28236.27,21727.9
Y04295351,Low Risk,12346.86,10436.99
N07667710,Balanced,9518.08,7028.73
B04313894,High Growth,39585.24,26475.42
I07490699,High Growth,27358.79,18167.59
V08419981,Low Risk,42327.6,36053.34
Z00812331,High Growth,33923.0,22627.95
K08988738,Low Risk,29200.14,24836.88
U07347191,Low Risk,29852.23,25394.05
V08985182,High Growth,31102.52,20711.44
Y08152724,Balanced,22585.79,17290.65
D01917509,Balanced,77920.67,60744.45
J09404709,Balanced,37830.06,29261.79
K02668028,High Growth,61453.43,41334.76
V08772332,High Growth,39138.84,26172.09
M01763424,Balanced,36884.37,28519.15
L06575762,High Growth,11834.35,7618.8
Y06660023,Low Risk,7342.21,6160.88
L06292695,Balanced,81912.24,63878.98
L05320683,Balanced,45281.53,35113.33
K00207254,High Growth,14381.97,9349.89
U06041604,High Growth,26832.23,17809.8
F07574753,Balanced,23442.94,17963.76
U06056173,Low Risk,14336.02,12136.58
J09683922,Low Risk,40517.89,34507.07
T04032147,Low Risk,21050.56,17873.66
N02073234,High Growth,39956.95,26727.99
G02597437,Balanced,17333.85,13166.36
V07626120,Balanced,41210.93,31916.74
I08425016,Balanced,65476.75,50972.39
W05755700,Low Risk,27787.95,23630.27
J09085108,Low Risk,17803.21,15099.04
U00647163,Low Risk,51147.99,43589.72
V01722330,Low Risk,18988.81,16112.05
X08755387,High Growth,31261.53,20819.49
F07580210,Low Risk,21456.41,18220.43
A08985803,High Growth,20301.4,13372.12
I01626304,Balanced,62601.37,48714.39
V07611132,High Growth,26011.27,17251.96
Y00966974,Low Risk,33819.87,28784.11
F00629428,Low Risk,10740.41,9064.39
F01764506,Balanced,35708.82,27596.0
E08522751,High Growth,10430.78,6665.08
K01106602,Balanced,36466.1,28190.68
I00517043,Low Risk,25748.93,21888.08
N02027372,High Growth,45734.43,30653.77
W07118611,Low Risk,53672.22,45746.49
I08961971,Low Risk,25071.74,21309.47
F06106132,High Growth,43937.75,29432.93
X02773692,Low Risk,12624.73,10674.41
F05254413,Low Risk,16116.15,13657.57
L00334407,High Growth,13384.24,8671.94
S02861669,Balanced,33732.16,26043.75
Y04769582,Balanced,31345.98,24169.92
F08989381,Low Risk,30567.33,26005.05
V04345768,High Growth,38947.75,26042.24
I02648836,Balanced,43781.16,33935.11
D07840623,Low Risk,26102.45,22190.13
I03573121,High Growth,33472.71,22321.98
V01873681,High Growth,41274.76,27623.44
D05399385,Balanced,16249.84,12315.1
V06739415,High Growth,13555.54,8788.34
Y06360353,High Growth,64612.67,43481.45
P05909093,Balanced,23942.93,18356.39
F07345123,Low Risk,27955.21,23773.18
D00128271,Low Risk,40376.24,34386.04
X02339255,Low Risk,28784.32,24481.6
A03248522,High Growth,29231.93,19440.38
A00824531,Balanced,11744.14,8776.83
Z04138347,High Growth,43007.27,28800.67
M08582644,High Growth,24009.12,15891.5
D06897185,High Growth,26047.6,17276.64
R05979946,Balanced,52237.29,40575.61
F02580674,High Growth,10431.87,6665.82
O03647399,High Growth,12559.4,8111.47
P09077648,High Growth,34021.11,22694.61
L05908398,Balanced,12123.03,9074.37
H01316919,High Growth,29366.99,19532.16
I08844787,Low Risk,27294.59,23208.73
V00630495,Balanced,10736.95,7985.9
I08788255,High Growth,17878.52,11725.79
X07562818,Low Risk,28644.04,24361.74
G00991694,High Growth,19920.41,13113.24
G05004210,Low Risk,17160.13,14549.57
T00761436,High Growth,39623.14,26501.17
B06328367,High Growth,18131.56,11897.73
Y01997242,High Growth,18702.93,12285.97
M08847040,High Growth,31492.43,20976.38
W07614549,Low Risk,18636.5,15811.02
W09665825,Low Risk,38601.42,32869.59
V07771337,Balanced,11349.07,8466.59
O03315748,High Growth,18568.79,12194.82
Y09329129,High Growth,41598.07,27843.13
S02652499,High Growth,25414.89,16846.72
R08865272,Low Risk,69782.36,59511.43
I00637349,Balanced,49996.67,38816.08
J06336703,Balanced,28890.31,22241.51
O00323986,High Growth,25251.4,16735.63
P06878328,Low Risk,35437.87,30166.57
U01581821,Balanced,30678.97,23646.12
Z02747773,Balanced,50747.1,39405.38
Y07991818,Low Risk,17336.12,14699.94
Y05618050,Low Risk,22531.7,19139.19
U01122673,Low Risk,39209.11,33388.82
L01190967,Balanced,20501.07,15653.54
I06845165,High Growth,21764.95,14366.6
S09287466,Balanced,38669.11,29920.68
W06293022,Low Risk,59626.41,50833.91
H00080706,Low Risk,27865.06,23696.15
R05102313,Balanced,18177.89,13829.18
S08508150,High Growth,23987.63,15876.9
T06170749,High Growth,17369.03,11379.59
U06106440,Low Risk,32291.94,27478.6
X05510720,Low Risk,29784.55,25336.22
K06355463,Low Risk,42302.59,36031.97
H08096299,Low Risk,27483.99,23370.56
I00687527,Balanced,13766.25,10364.77
I07768562,Low Risk,19071.9,16183.04
J05539358,Low Risk,43577.19,37121.02
T06076897,Low Risk,20526.31,17425.73
E02535870,High Growth,25137.84,16658.46
I05739659,Balanced,26493.91,20359.65
G04826200,High Growth,31401.41,20914.54
D05801745,Low Risk,105036.38,89633.41
B01306068,Low Risk,79175.76,67537.4
O05587521,Balanced,18742.22,14272.34
V07891543,Low Risk,43673.35,37203.18
U05109947,Low Risk,33082.1,28153.73
B05952049,High Growth,39952.04,26724.65
X04019543,High Growth,14973.07,9751.54
L08252189,High Growth,35935.97,23995.75
W07447577,High Growth,28759.48,19119.35
U09202382,Balanced,25313.74,19432.87
Q07468948,Low Risk,17051.78,14457.0
V09203836,Low Risk,37522.01,31947.31
Z00137871,High Growth,19943.7,13129.07
K01023375,Low Risk,27177.91,23109.04
Q02550954,Low Risk,21818.62,18529.91
P00347687,Balanced,16260.76,12323.68
E08111682,Balanced,13450.44,10116.77
J06886479,High Growth,50807.13,34100.65
K02018329,Balanced,27782.83,21371.82
E06076909,Balanced,58416.93,45428.4
R06688312,High Growth,45281.86,30346.25
Z07381791,Low Risk,23266.19,19766.76
T05310560,Balanced,13641.25,10266.61
M03552961,High Growth,47049.69,31547.48
U08133949,Low Risk,16223.7,13749.46
V06084936,High Growth,52251.97,35082.41
T07038977,Low Risk,37869.39,32244.12
V08890575,Low Risk,39257.0,33429.74
B04449447,Balanced,39600.22,30651.87
M08020732,Balanced,28441.02,21888.69
H08588193,High Growth,20677.63,13627.77
A04212118,Balanced,34301.7,26491.01
O02690722,Balanced,42065.58,32587.89
X09359444,Balanced,28000.76,21542.96
E08860694,Balanced,37317.28,28859.11
M01608653,Balanced,43966.37,34080.56
O08970257,Low Risk,33343.66,28377.22
K03701343,Balanced,52053.21,40431.05
X05597850,High Growth,24872.68,16478.29
X06171843,Low Risk,27229.86,23153.42
F03978179,High Growth,26343.16,17477.48
A08820332,Balanced,77027.47,60043.03
W01228021,High Growth,26526.38,17601.97
Z01937886,Balanced,28343.92,21812.44
T00742468,Balanced,23492.97,18003.04
M07109376,High Growth,40475.11,27080.08
R04749499,Balanced,16288.03,12345.09
Q03401480,Low Risk,12853.29,10869.69
N05732893,Balanced,18812.41,14327.46
M00811653,Low Risk,58747.23,50082.71
M07834863,Balanced,34454.34,26610.87
R07124975,Low Risk,58636.11,49987.77
N05227412,Low Risk,28561.26,24291.01
H03731108,Low Risk,31214.75,26558.22
U04022641,High Growth,29137.18,19376.0
J02481447,Low Risk,17521.12,14858.01
D04670930,Balanced,47927.81,37191.43
S09121111,Low Risk,32773.2,27889.8
S00302387,Low Risk,37219.96,31689.23
C04712161,Low Risk,18380.46,15592.26
F07499375,High Growth,75637.55,50972.82
B08797565,Balanced,32893.92,25385.5
T09820456,Low Risk,50018.68,42624.81
M02724947,High Growth,55343.99,37183.42
H07477795,High Growth,25022.85,16580.33
J09093186,Low Risk,32250.77,27443.42
P02726285,Low Risk,15128.47,12813.67
B08454507,Low Risk,38650.74,32911.73
U09931554,Low Risk,41179.65,35072.5
A04757408,Low Risk,34239.93,29143.02
U04456696,Low Risk,39921.41,33997.43
D03263488,Low Risk,33636.88,28627.75
A01145928,Balanced,38758.46,29990.85
W03186475,High Growth,64588.08,43464.75
H07162949,Low Risk,28273.13,24044.82
L09414664,Balanced,35166.57,27170.18
P04214547,Low Risk,44447.69,37864.8
B07255536,Low Risk,33527.16,28534.01
A08749889,Low Risk,98054.52,83667.92
Z07294605,Low Risk,77991.8,66525.79
H08675054,High Growth,16286.4,10643.95
D01673102,High Growth,32514.15,21670.64
H05058825,High Growth,33700.0,22476.42
G03702848,Balanced,29541.76,22753.08
C07648269,Low Risk,31683.94,26959.11
W08034411,High Growth,34921.16,23306.19
W09606952,Low Risk,61318.38,52279.57
T05708148,High Growth,48467.91,32511.15
S00030183,Balanced,23481.85,17994.31
K05082171,High Growth,36152.45,24142.85
Q02938406,Balanced,36638.51,28326.08
X09837904,High Growth,17294.26,11328.78
J01858784,Balanced,81794.04,63786.16
W00598264,Low Risk,28643.38,24361.17
X02953865,Low Risk,31441.36,26751.84
S00733045,High Growth,41490.17,27769.81
L08092481,High Growth,77391.93,52164.91
U07390572,Low Risk,24936.72,21194.1
U08694771,High Growth,19468.66,12806.28
Y05390121,Balanced,32053.02,24725.15
Y03752478,Balanced,32164.82,24812.94
O08737354,High Growth,81798.84,55159.39
D05917462,Balanced,12649.69,9487.95
S03978681,Low Risk,29293.97,24917.05
W04303482,Low Risk,51989.73,44308.92
B00962694,Low Risk,54316.14,46296.67
C07214594,High Growth,72403.72,48775.44
A07903023,Low Risk,17518.93,14856.14
S02420085,Low Risk,22476.36,19091.9
Z09632078,High Growth,27931.29,18556.6
N03508962,High Growth,18735.73,12308.26
S01248631,Low Risk,64959.02,55390.23
D09077847,Balanced,20706.66,15814.99
O05164170,Balanced,14236.89,10734.36
Y07666640,Low Risk,41683.07,35502.64
C07705404,Balanced,57246.01,44508.89
Z08708727,High Growth,21545.79,14217.68
A06728983,High Growth,27206.9,18064.38
T06977899,Balanced,16214.24,12287.15
Z00456640,Balanced,41822.44,32396.95
M04556996,Balanced,11893.3,8893.96
D02713540,High Growth,45524.47,30511.1
I05644269,Low Risk,39161.01,33347.72
W06560332,Low Risk,45685.63,38922.53
L08465942,Balanced,30921.46,23836.55
H05275235,Low Risk,47259.21,40267.04
K04569580,Low Risk,61612.38,52530.78
W04962522,Low Risk,25273.34,21481.72
G05904525,High Growth,28152.01,18706.58
K00288744,Low Risk,13419.33,11353.33
G09712201,Balanced,19233.56,14658.18
G04951983,Low Risk,19558.15,16598.51
P06302999,Low Risk,23710.66,20146.52
Y00861398,High Growth,31471.37,20962.07
Q00207593,High Growth,15592.54,10172.47
T08231393,Balanced,18769.89,14294.07
H03161301,High Growth,17517.58,11480.53
H07106594,Low Risk,11118.68,9387.6
P04263697,High Growth,61845.58,41601.23
X05711618,Low Risk,30414.78,25874.7
E01763078,Balanced,39895.03,30883.38
E05731421,Balanced,18659.37,14207.28
M08541271,Low Risk,14242.19,12056.41
P06684560,Balanced,35862.24,27716.48
W09710540,High Growth,55417.66,37233.48
O08302228,Balanced,41930.29,32481.65
J09969336,Balanced,21796.04,16670.46
B08505894,Low Risk,13164.24,11135.38
Y06281087,Balanced,34033.61,26280.48
O04481177,High Growth,31629.69,21069.65
J02441548,Low Risk,25591.83,21753.85
R01566826,High Growth,19691.88,12957.96
S02197132,High Growth,49838.03,33442.15
G02135312,Balanced,18772.16,14295.85
M02545882,Balanced,14881.83,11240.82
T04328505,High Growth,23006.58,15210.28
Y06199663,Low Risk,13627.69,11531.36
U05988450,Low Risk,44533.3,37937.95
E07974716,Balanced,96810.12,75578.11
K01889279,High Growth,55059.4,36990.05
A07550870,High Growth,25236.73,16725.66
M04492882,Balanced,30348.98,23386.98
S00142348,Low Risk,21509.65,18265.92
Y06106438,Balanced,67064.69,52219.38
Z05339779,Balanced,45492.95,35279.36
Q06773600,Low Risk,24476.2,20800.62
I01199018,Balanced,13073.27,9820.58
D07598130,Balanced,43827.62,33971.6
V07395780,Balanced,22713.02,17390.56
F02472618,High Growth,43085.55,28853.86
U01991873,Low Risk,15072.17,12765.56
G09540968,High Growth,19390.18,12752.95
N07135534,Balanced,18169.7,13822.74
N08473519,Balanced,15637.85,11834.51
P05201177,High Growth,14284.98,9283.99
C00093865,Low Risk,57764.05,49242.66
Q05098323,Low Risk,56696.38,48330.41
O08310997,Low Risk,44241.6,37688.71
Z07184859,High Growth,35016.78,23371.17
Y00050879,Balanced,50590.3,39282.25
X07310478,Low Risk,26319.78,22375.83
R02995657,High Growth,28554.89,18980.34
E07269013,Balanced,17083.07,12969.43
W05311554,Low Risk,36392.04,30981.84
J01086007,High Growth,19860.51,13072.54
O04700539,Low Risk,29423.22,25027.49
J05872502,Low Risk,18419.29,15625.43
Q09954059,Balanced,46333.49,35939.43
H02706157,High Growth,63102.96,42455.61
M08117034,Low Risk,20186.58,17135.45
I09836926,Balanced,53284.24,41397.77
I04317286,Low Risk,53135.48,45287.88
E05961693,High Growth,25167.96,16678.93
S09696338,Balanced,44001.84,34108.41
U08833359,Balanced,18446.49,14040.1
M06551271,Low Risk,35502.32,30221.64
R04547363,Balanced,41859.9,32426.37
Y04785578,High Growth,17945.21,11771.1
Y05765749,Balanced,43676.2,33852.69
R09296066,High Growth,33656.21,22446.66
O00346492,Balanced,34618.19,26739.54
E06533111,High Growth,11380.23,7310.22
E06322922,High Growth,23339.91,15436.78
V08599253,Balanced,24533.65,18820.28
Q00829067,Low Risk,18410.06,15617.55
I02166067,Balanced,40727.61,31537.2
Z07584377,High Growth,48018.32,32205.66
Q08825728,Low Risk,20744.08,17611.8
B02183875,High Growth,28791.17,19140.89
P08561590,Low Risk,60862.65,51890.19
X06110209,High Growth,65977.61,44408.93
U05572889,Low Risk,35828.02,30499.92
Q01174821,High Growth,16362.95,10695.96
C01959105,Low Risk,21781.14,18497.89
X08134403,Low Risk,33301.57,28341.26
U02224408,High Growth,26516.78,17595.45
Z00456641,Balanced,13113.95,9852.53
G02013336,Balanced,30815.1,23753.02
V00589594,Low Risk,19540.07,16583.06
C08672798,High Growth,14393.1,9357.46
J00451969,Low Risk,51987.88,44307.34
H02667357,Balanced,58113.48,45190.11
V05818130,High Growth,10101.6,6441.4
G05666739,Balanced,29039.79,22358.89
S08977375,High Growth,28193.37,18734.69
X08917248,Low Risk,35699.22,30389.87
G00443412,Low Risk,13938.23,11796.7
K03377516,Balanced,23381.98,17915.88
S09905326,Low Risk,40324.41,34341.76
G09377760,Low Risk,14203.86,12023.66
Z01406408,Balanced,19529.63,14890.68
C00257953,Balanced,26053.14,20013.51
G06462804,Balanced,13343.17,10032.53
Y06285855,Low Risk,36258.39,30867.64
H09647518,Low Risk,23396.08,19877.74
E05753878,Balanced,18772.54,14296.15
K04910325,Low Risk,104446.44,89129.35
W05903838,Balanced,68246.95,53147.8
M05390227,Balanced,11568.4,8638.82
H07898481,Balanced,15943.08,12074.21
Y02829852,Balanced,23284.75,17839.53
B08818332,Low Risk,33168.94,28227.93
N02339581,Balanced,51087.5,39672.69
I01223086,Low Risk,31147.44,26500.71
Z09291893,High Growth,38625.96,25823.59
K09912682,Balanced,45299.66,35127.57
R07059082,Balanced,25237.57,19373.06
B01812286,Low Risk,22936.29,19484.88
S02715732,High Growth,12117.13,7810.94
X07470122,Low Risk,36129.33,30757.37
U08298162,High Growth,38528.45,25757.33
P07548802,High Growth,40113.78,26834.56
A09139586,Low Risk,18181.93,15422.63
T05791263,High Growth,36689.12,24507.51
R03572433,High Growth,58023.04,39003.83
I03618805,Low Risk,45187.41,38496.84
A07673116,Low Risk,25586.87,21749.61
H04458217,High Growth,28038.73,18629.61
H08425489,Balanced,21531.2,16462.49
V00866784,Low Risk,32746.59,27867.07
D06989035,Balanced,23229.5,17796.14
B08521515,High Growth,29665.65,19735.09
V07503846,High Growth,29131.63,19372.23
X04020130,Balanced,38445.25,29744.89
T05296873,Low Risk,24714.02,21003.82
B04750412,Balanced,53345.06,41445.53
N07126779,Balanced,13933.63,10496.21
H06476656,Low Risk,31480.85,26785.58
D07818214,Balanced,26751.92,20562.26
F03682066,Low Risk,18446.48,15648.67
C04511556,Low Risk,55739.78,47513.07
B08122971,High Growth,14704.91,9569.33
L06438276,High Growth,20376.08,13422.87
N09865828,High Growth,34622.77,23103.44
G07895413,Balanced,62761.4,48840.06
R07068264,Balanced,18296.15,13922.04
M00455078,Low Risk,70773.64,60358.4
S00270039,Low Risk,82269.63,70180.89
G02070656,Balanced,17260.57,13108.82
O00907995,High Growth,14252.55,9261.95
Y05843378,High Growth,40478.42,27082.33
W02247419,High Growth,25838.31,17134.43
K01614147,High Growth,45557.08,30533.26
L07045469,Low Risk,10322.18,8707.05
W08526553,Balanced,13542.94,10189.41
U09999769,High Growth,44371.54,29727.69
F09953719,High Growth,14501.27,9430.96
N00071737,Balanced,22959.38,17584.02
F01866328,Low Risk,98708.67,84226.85
E08608119,Balanced,28784.91,22158.74
X02445505,Low Risk,66174.81,56429.04
C01390713,Balanced,38491.87,29781.5
Y01659941,High Growth,23067.76,15251.85
F04513844,High Growth,106470.69,71923.81
J08747228,Low Risk,11091.87,9364.69
W05610928,Low Risk,36942.53,31452.19
P08994668,High Growth,26450.53,17550.43
L08689263,Balanced,28712.58,22101.94
P03889328,High Growth,40783.89,27289.89
O07331975,High Growth,39349.87,26315.48
F02387275,Balanced,20509.6,15660.24
J05702086,Balanced,18104.85,13771.82
K04307813,Balanced,37849.45,29277.01
O03551073,High Growth,41234.2,27595.88
R06914759,Low Risk,45016.18,38350.53
H09242289,Balanced,28079.54,21604.82
O00778879,High Growth,35719.8,23848.86
C08744952,Balanced,17584.99,13363.58
V04408101,Balanced,21253.48,16244.4
G04591525,Balanced,94830.62,74023.63
V05734422,High Growth,61482.92,41354.8
O02483452,Low Risk,11328.5,9566.87
B02207629,Low Risk,18561.28,15746.75
W03615498,Low Risk,45332.44,38620.76
R02172587,Balanced,17577.85,13357.97
D07452784,Low Risk,34334.72,29224.01
N02117351,High Growth,53654.39,36035.35
Q06186401,High Growth,30923.85,20590.04
Y08672568,Balanced,49386.72,38337.09
C06548591,Low Risk,36209.93,30826.24
R03181286,Low Risk,69813.31,59537.87
L01010120,High Growth,18271.78,11993.0
N07106368,High Growth,37628.75,25145.99
U01958527,Balanced,31441.6,24245.01
R05960100,Balanced,49664.29,38555.06
Y02096694,Low Risk,64823.91,55274.79
W06060787,Balanced,19276.53,14691.92
U02530637,High Growth,28065.46,18647.77
N06075528,Low Risk,51808.7,44154.25
P03346367,Balanced,56574.0,43981.17
E05703999,High Growth,29881.43,19881.72
A09493910,Low Risk,49908.36,42530.54
E05558334,Balanced,29771.48,22933.48
T04032411,High Growth,45162.74,30265.3
P00693020,Balanced,47036.74,36491.68
Y06019966,High Growth,13240.32,8574.15
E09888891,Balanced,31092.72,23971.03
M03899278,High Growth,15240.61,9933.34
X02387069,High Growth,7181.32,4457.08
H09567539,High Growth,18296.12,12009.54
M04821306,High Growth,58710.57,39471.0
D01419440,Low Risk,73596.47,62770.3
T06750713,Balanced,40031.02,30990.17
T04558361,Low Risk,38496.38,32779.84
E02047530,Low Risk,18169.87,15412.32
F03007487,High Growth,35201.6,23496.75
W08629959,Low Risk,29014.4,24678.18
S05914522,High Growth,26484.2,17573.31
W08449035,Balanced,19398.69,14787.86
Q05369278,Balanced,11551.77,8625.76
H01656112,Low Risk,28158.98,23947.29
E06744832,High Growth,61847.18,41602.32
O08761242,Balanced,33220.72,25642.13
Z05010709,Low Risk,41064.69,34974.27
Q02764617,Low Risk,50976.82,43443.47
Z06643864,High Growth,23941.0,15845.22
V06067773,Low Risk,60654.6,51712.42
Y05047608,High Growth,55967.48,37607.08
D06528245,High Growth,13481.97,8738.35
Y04879089,Balanced,32956.71,25434.8
P03595518,High Growth,33541.4,22368.65
V03827844,Balanced,36514.26,28228.5
Q04391082,High Growth,27816.72,18478.75
G05711183,Low Risk,54196.84,46194.74
P01476121,Low Risk,18398.88,15608.0
X04003430,Balanced,18682.36,14225.33
W08486691,High Growth,26825.98,17805.55
L07759381,Balanced,71756.77,55904.02
J07122749,High Growth,29445.85,19585.74
R05426873,Low Risk,97359.08,83073.72
S03657474,High Growth,34325.65,22901.55
G08258469,High Growth,44496.56,29812.64
U04932838,Low Risk,56690.36,48325.27
B05829278,Low Risk,9539.88,8038.63
E03469421,High Growth,41732.16,27934.24
E08035290,Balanced,11558.56,8631.1
H06019961,Low Risk,43050.16,36670.71
K00686923,Balanced,33542.27,25894.64
V01635839,High Growth,19151.88,12591.03
T04303210,Balanced,48653.98,37761.68
A08560218,Low Risk,22634.45,19226.98
G00288450,High Growth,32466.75,21638.43
L09063913,Low Risk,34175.12,29087.64
B09725279,High Growth,27691.73,18393.82
G00517156,Low Risk,28458.18,24202.93
B09455162,High Growth,26898.03,17854.51
C02126328,High Growth,12507.89,8076.46
A03620495,Low Risk,69668.74,59414.35
S05663081,High Growth,26895.27,17852.63
O04145393,Low Risk,30379.61,25844.65
L05492643,High Growth,26921.52,17870.47
N06017052,Low Risk,53276.76,45408.6
V02750425,Balanced,11586.43,8652.98
M01295179,Balanced,74452.9,58021.26
E05750322,High Growth,19170.91,12603.96
J06061400,Low Risk,32963.37,28052.29
Q09642980,Balanced,42978.05,33304.44
K04476423,Balanced,45029.31,34915.27
H08514182,High Growth,21263.48,14025.85
W00625066,Low Risk,62801.23,53546.56
Q02719699,Low Risk,73596.34,62770.19
L02797138,Balanced,52658.55,40906.42
X03309398,Balanced,15791.38,11955.08
V00360354,High Growth,29042.16,19311.43
P01095859,Balanced,26503.23,20366.96
N03644460,Balanced,26654.66,20485.88
G00650243,Balanced,57646.53,44823.42
U08605584,Balanced,40033.92,30992.45
O05286933,Balanced,25992.19,19965.65
K02002558,Low Risk,25435.42,21620.2
L03175172,Low Risk,21436.7,18203.59
J01377810,Low Risk,31602.94,26889.9
M04155890,Low Risk,13714.05,11605.15
U02079707,Balanced,36232.76,28007.45
K02346445,High Growth,18037.45,11833.78
Y00889694,Balanced,49504.04,38429.22
Q03054865,Balanced,25385.89,19489.53
G03440124,High Growth,29770.19,19806.13
J07776924,Low Risk,25682.54,21831.35
T02623717,High Growth,79632.38,53687.29
Y01433745,Low Risk,18770.72,15925.71
P07256163,Low Risk,28793.08,24489.08
W08920871,High Growth,25783.79,17097.39
Z00804577,Balanced,36412.0,28148.2
T08586075,Low Risk,46958.02,40009.69
I04483434,Low Risk,77618.2,66206.58
K08313379,High Growth,51877.29,34827.81
M09281470,Low Risk,16262.51,13782.62
W02028739,Low Risk,9348.07,7874.74
Q04391060,Balanced,29191.19,22477.79
B08728205,High Growth,40040.45,26784.73
M03616869,High Growth,13799.63,8954.2
C03362439,Low Risk,33849.36,28809.3
M04605357,Balanced,45331.66,35152.7
V03596651,Low Risk,83802.48,71490.59
U04735291,Balanced,19723.54,15042.96
Q08405950,Balanced,25640.36,19689.36
M00606667,Low Risk,27021.52,22975.41
J08187297,Low Risk,67371.66,57451.66
H01695440,Balanced,85450.01,66657.15
F06264833,Balanced,47133.85,36567.94
I00091907,Balanced,106842.54,83456.45
H01741692,High Growth,42104.95,28187.55
X08715388,High Growth,60944.81,40989.16
M07707433,High Growth,42121.73,28198.95
G04662285,High Growth,55239.55,37112.46
G02953951,Balanced,35724.13,27608.02
O00355408,Balanced,14863.84,11226.69
B06193540,Balanced,56816.72,44171.78
B09679826,Low Risk,27066.73,23014.04
X02752581,Low Risk,31283.0,26616.54
Y02012529,Balanced,38206.49,29557.39
S06827658,Low Risk,35779.47,30458.44
B00770964,Low Risk,16757.31,14205.39
A03364346,High Growth,50792.27,34090.55
W01067966,Balanced,80988.02,63153.21
U00519101,Balanced,30371.89,23404.98
W03656619,Low Risk,33216.76,28268.79
Z04769263,Low Risk,55277.34,47117.95
M07544822,Balanced,38356.37,29675.09
L08906773,Balanced,19121.3,14570.02
O04616530,Balanced,25449.4,19539.4
E08537887,Balanced,33107.24,25553.01
J04788859,Balanced,13820.9,10407.68
S03467656,Balanced,44291.76,34336.08
Y02334487,High Growth,39932.71,26711.52
X07688233,Balanced,23836.44,18272.77
K07499467,High Growth,21784.15,14379.65
D09388858,High Growth,27594.03,18327.44
X03783772,High Growth,27989.86,18596.4
X08754182,High Growth,16708.79,10930.96
O03247855,High Growth,47165.17,31625.95
T09583407,Low Risk,71814.87,61248.06
U00602200,Balanced,44406.76,34426.39
I07657797,High Growth,19416.31,12770.71
N07449725,High Growth,54604.4,36680.87
N09982498,Balanced,19170.33,14608.53
Q03785610,Balanced,26402.99,20288.25
Z00629904,Low Risk,21003.03,17833.05
C02971934,High Growth,13704.73,8889.71
M00743071,High Growth,30185.72,20088.48
V04690261,High Growth,55843.25,37522.67
R05387709,Low Risk,20655.01,17535.69
N07446538,Low Risk,48413.57,41253.36
P09507944,Low Risk,34052.85,28983.17
Y00291096,High Growth,82536.25,55660.46
Z08847546,Low Risk,23348.49,19837.08
F07081598,High Growth,57768.62,38830.95
Y01407923,Low Risk,24003.3,20396.56
I06416912,Low Risk,57999.27,49443.64
S01812475,High Growth,35779.04,23889.12
G08478215,Low Risk,32772.69,27889.37
K02503136,High Growth,13248.69,8579.83
I08748049,High Growth,35481.56,23686.98
L07639068,Low Risk,36915.73,31429.29
H08716575,Balanced,37513.95,29013.55
X07925501,Balanced,46661.3,36196.85
L01466932,Balanced,28008.53,21549.06
T05185510,High Growth,65483.51,44073.19
I01194070,High Growth,37936.12,25354.85
G05481581,Low Risk,60779.99,51819.56
X03273887,Low Risk,39217.16,33395.7
O00472149,Balanced,29485.91,22709.23
Q03143523,Low Risk,9673.9,8153.14
Z07658462,Low Risk,30635.04,26062.9
E06048434,Low Risk,62817.43,53560.4
I02507667,High Growth,27405.34,18199.22
C01482218,Balanced,34287.29,26479.69
Q09370487,Balanced,25887.72,19883.61
L01464574,High Growth,50236.54,33712.93
M07679503,Balanced,24097.7,18477.93
I00978099,High Growth,43204.87,28934.94
B09685459,High Growth,15080.01,9824.21
G02350756,High Growth,20525.72,13524.55
A02429926,Balanced,29234.43,22511.74
N05091020,Low Risk,56100.01,47820.86
X03933987,High Growth,32722.8,21812.41
R00392162,Low Risk,10801.14,9116.28
W08391536,Balanced,22981.31,17601.24
Q00645372,Balanced,20166.22,15390.59
